Date,Close,High,Low,Open,Volume
8/5/1980,1.240508437,1.259593108,1.240508437,1.255776272,17550
8/6/1980,1.248142123,1.251958959,1.240508256,1.240508256,41850
8/7/1980,1.267227411,1.271044445,1.2443257,1.248142734,137025
8/8/1980,1.259593725,1.282495342,1.259593725,1.267227597,126225
8/11/1980,1.251958728,1.251958728,1.240508027,1.251958728,63450
8/12/1980,1.255775452,1.271043179,1.251958323,1.251958323,85050
8/13/1980,1.248142123,1.255776089,1.244325091,1.255776089,73575
8/14/1980,1.251958728,1.251958728,1.232873965,1.248141893,127575
8/15/1980,1.282494903,1.282494903,1.259593294,1.259593294,167400
8/18/1980,1.267227411,1.282495153,1.25959354,1.282495153,149175
8/19/1980,1.263410211,1.263410211,1.248142375,1.263410211,70200
8/20/1980,1.259593725,1.259593725,1.248142917,1.259593725,16875
8/21/1980,1.263410211,1.267227047,1.248142375,1.259593178,64800
8/22/1980,1.267227411,1.267227411,1.25959354,1.263410574,45900
8/25/1980,1.267227411,1.278678316,1.263410574,1.267227411,24300
8/26/1980,1.282494903,1.29012887,1.267227163,1.267227163,50625
8/27/1980,1.255775452,1.271043179,1.255775452,1.271043179,96525
8/28/1980,1.244324803,1.267226498,1.244324803,1.255775798,114075
8/29/1980,1.251958728,1.267226558,1.236690996,1.244324862,20925
9/2/1980,1.271043658,1.274860493,1.251958796,1.251958796,29025
9/3/1980,1.31684804,1.31684804,1.282495416,1.282495416,125550
9/4/1980,1.301579833,1.316847573,1.301579833,1.316847573,45900
9/5/1980,1.293946743,1.305397457,1.293946743,1.301580618,84375
9/8/1980,1.301579833,1.30539667,1.293945963,1.293945963,63450
9/9/1980,1.271043658,1.286311391,1.271043658,1.286311391,95850
9/10/1980,1.282494903,1.29776274,1.274861033,1.274861033,151200
9/11/1980,1.30539608,1.30539608,1.286311414,1.286311414,250425
9/12/1980,1.301579833,1.31303054,1.29012893,1.30539667,56700
9/15/1980,1.309213519,1.313030355,1.305396486,1.305396486,538650
9/16/1980,1.301579833,1.309213703,1.293945963,1.309213703,197100
9/17/1980,1.30539608,1.313029946,1.30539608,1.30539608,57375
9/18/1980,1.309213519,1.316847388,1.309213519,1.309213519,65475
9/19/1980,1.30539608,1.313029946,1.301579245,1.309213112,217350
9/22/1980,1.301579833,1.309213703,1.267227222,1.30539667,126900
9/23/1980,1.30539608,1.316846978,1.278677547,1.301579245,139050
9/24/1980,1.297762632,1.305396501,1.271044091,1.305396501,276075
9/25/1980,1.27867794,1.305396481,1.27867794,1.297762612,1603800
9/26/1980,1.21760726,1.259593856,1.21760726,1.259593856,152550
9/29/1980,1.198522925,1.217607513,1.198522925,1.217607513,120825
9/30/1980,1.209973097,1.213790131,1.198522388,1.198522388,27675
10/1/1980,1.198522925,1.2061568,1.198522925,1.2061568,68175
10/2/1980,1.21760726,1.21760726,1.198522676,1.198522676,41850
10/3/1980,1.240508437,1.248142306,1.229057536,1.229057536,83700
10/6/1980,1.251958728,1.255775857,1.244324862,1.244324862,32400
10/7/1980,1.259593725,1.271044632,1.259593725,1.259593725,76950
10/8/1980,1.259593725,1.26341076,1.251959755,1.259593725,68850
10/9/1980,1.263410211,1.278677948,1.259593178,1.259593178,98550
10/10/1980,1.263410211,1.29776262,1.255776342,1.263410211,85050
10/13/1980,1.274861217,1.274861217,1.255776638,1.263410509,59400
10/14/1980,1.274861217,1.282495087,1.259593475,1.274861217,48600
10/15/1980,1.251958728,1.278677455,1.244324862,1.274860424,78975
10/16/1980,1.255775452,1.267226149,1.255775452,1.255775452,111375
10/17/1980,1.259593725,1.267227597,1.244325883,1.255776887,157950
10/20/1980,1.255775452,1.263409315,1.251958323,1.259592285,93825
10/21/1980,1.255775452,1.267226149,1.255775452,1.255775452,81000
10/22/1980,1.251958728,1.259592692,1.251958728,1.255775857,51300
10/23/1980,1.244324803,1.259592633,1.244324803,1.251958669,58725
10/24/1980,1.244324803,1.251958669,1.236690938,1.244324803,53325
10/27/1980,1.251958728,1.267226558,1.248141893,1.248141893,77625
10/28/1980,1.255775452,1.263409315,1.24432446,1.251958323,121500
10/29/1980,1.255775452,1.263409315,1.24432446,1.255775452,53325
10/30/1980,1.255775452,1.263409315,1.236690596,1.255775452,128925
10/31/1980,1.255775452,1.255775452,1.24432446,1.255775452,125550
11/3/1980,1.251958728,1.267226558,1.251958728,1.255775857,46575
11/5/1980,1.251958728,1.267226558,1.251958728,1.251958728,102600
11/6/1980,1.213790417,1.25195988,1.213790417,1.25195988,132975
11/7/1980,1.213790417,1.221424388,1.202339509,1.213790417,111375
11/10/1980,1.221424937,1.229058814,1.209973926,1.213790963,106650
11/11/1980,1.236691713,1.236691713,1.229057843,1.229057843,56025
11/12/1980,1.255775452,1.259592285,1.229056733,1.236690596,61425
11/13/1980,1.282494903,1.30539661,1.274861033,1.274861033,139725
11/14/1980,1.286311746,1.293945712,1.274860845,1.282494713,50625
11/17/1980,1.251958728,1.293945285,1.251958728,1.286311321,97875
11/18/1980,1.251958728,1.263409723,1.251958728,1.251958728,62100
11/19/1980,1.221424937,1.259594417,1.213790963,1.251960443,182250
